Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
USDBTC,Bitcoin per United States Dollar,Exchange Rates - Market,United States Dollar,United States,,,,,,,National Currency,Units,Stock,none,Daily From Jul 2010 To Apr 2024<BR>,,
Date,Ticker,Open,High,Low,Close
01/25/2024,USDBTC,40140,40333,39556,40001
01/26/2024,USDBTC,40001,42192,39877,41821
01/27/2024,USDBTC,41821,42204,41405,42125
01/28/2024,USDBTC,42125,42808,41637,42047
01/29/2024,USDBTC,42047,43301,41833,43301
01/30/2024,USDBTC,43303.3,43817.9,42702.9,42946.2
01/31/2024,USDBTC,42956,43722,42304,42594
02/01/2024,USDBTC,42594,43272,41880,43088
02/02/2024,USDBTC,43088,43477,42560,43201
02/03/2024,USDBTC,43201,43366,42892,43004
02/04/2024,USDBTC,43004,43109,42332,42583
02/05/2024,USDBTC,42583,43540,42247,42707
02/06/2024,USDBTC,42707,43375,42574,43101
02/07/2024,USDBTC,43088.4,44367.9,42783.5,44339.8
02/08/2024,USDBTC,44328,45541,44328,45279
02/09/2024,USDBTC,45279,48182,45247,47150
02/10/2024,USDBTC,47150,48185,46900,47800
02/11/2024,USDBTC,47800,48500,47613,48321
02/12/2024,USDBTC,48321,50283,47699,49947
02/13/2024,USDBTC,49947,50349,48388,49777
02/14/2024,USDBTC,49777,52005,49319,51778
02/15/2024,USDBTC,51778,52700,51280,51893
02/16/2024,USDBTC,51893,52579,51580,52130
02/17/2024,USDBTC,52130,52153,50611,51631
02/18/2024,USDBTC,51631,52449,51165,52061
02/19/2024,USDBTC,52119.6,52484.8,51694.2,51783.6
02/20/2024,USDBTC,51783.1,52936.8,50801.8,52263.5
02/21/2024,USDBTC,52168,52279,50600,51856
02/22/2024,USDBTC,51856,52042,50903,51287
02/23/2024,USDBTC,51287,51537,50527,50734
02/24/2024,USDBTC,50734,51724,50590,51630
02/25/2024,USDBTC,51630,51956,51307,51716
02/26/2024,USDBTC,51722.7,54899.1,50925.2,54495.1
02/27/2024,USDBTC,54417,57487,54388,56998
02/28/2024,USDBTC,57048.7,63915.3,56704.9,62467.6
02/29/2024,USDBTC,62467.1,63653.4,60512.5,61169.3
03/01/2024,USDBTC,61157.3,63147.3,60790.9,62397.7
03/02/2024,USDBTC,62346,62406,61584,61962
03/03/2024,USDBTC,61962,63229,61402,63121
03/04/2024,USDBTC,63135.8,68495.1,62746.8,68270.1
03/05/2024,USDBTC,68273.1,69063.1,60138.2,63792.6
03/06/2024,USDBTC,63794.7,67604.9,62848.7,66080.4
03/07/2024,USDBTC,66074.6,67985.5,65602.6,66855.3
03/08/2024,USDBTC,66854.4,69904,66170.7,68172
03/09/2024,USDBTC,68010,68458,67724,68205
03/10/2024,USDBTC,68205,69850,68048,68948
03/11/2024,USDBTC,68964.7,72771.5,67452.8,72099.1
03/12/2024,USDBTC,72099.1,72916.7,68845.6,71470.2
03/13/2024,USDBTC,71461.9,73623.5,71338.4,73066.3
03/14/2024,USDBTC,73066.7,73740.9,68717.2,71387.5
03/15/2024,USDBTC,71387.1,72398.1,65765.6,69463.7
03/16/2024,USDBTC,69514,70070,65000,65304
03/17/2024,USDBTC,65304,68922,64593,68456
03/18/2024,USDBTC,68456,68940,66648,67813
03/19/2024,USDBTC,67606,68136,61689,62072
03/20/2024,USDBTC,62046.8,68029.5,60850.9,67854
03/21/2024,USDBTC,67860,68161.7,64616.1,65503.8
03/22/2024,USDBTC,65501.5,66633.3,62328.3,63785.5
03/23/2024,USDBTC,63828,65969,63059,64069
03/24/2024,USDBTC,64034,67655,63827,67283
03/25/2024,USDBTC,67283,70983,66397,69824
03/26/2024,USDBTC,69824,71402,69347,70088
03/27/2024,USDBTC,69999.2,71670.8,68428.6,69442.4
03/28/2024,USDBTC,69449.4,71542.5,68956.9,70762.1
03/29/2024,USDBTC,70766.7,70907,69090.9,69871.7
03/30/2024,USDBTC,69862,70301,69632,69683
03/31/2024,USDBTC,69683,71444,69652,71402
04/01/2024,USDBTC,71329.3,71329.3,68175.9,69664.4
04/02/2024,USDBTC,69662.7,69673,64628.4,65439.2
04/03/2024,USDBTC,65443.6,66844.8,64559,65963
04/04/2024,USDBTC,65968.4,69238.8,65096.3,68496.5
04/05/2024,USDBTC,68498.7,68692.2,66023.3,67830.6
04/06/2024,USDBTC,67819,69673,67491,68880
04/07/2024,USDBTC,68880,70222,68821,69343
04/08/2024,USDBTC,69358,72710.8,69110.5,71630.1
04/09/2024,USDBTC,71627.3,71737.2,68264.6,69148
04/10/2024,USDBTC,69165,71241,67606,70688
04/11/2024,USDBTC,70688,71352,69650,70104
04/12/2024,USDBTC,70104,71291,65625,67061
